family,MAE,RMSE,RMSLE,WAPE_percent,MAPE_percent,actual_sales,predicted_sales,sales_difference,rows
BOOKS,0.2975027410427969,0.6346109516506915,0.37651463559077397,909.3480009232659,77.75038228296872,159.0,1448.488251835932,1289.488251835932,4860
BABY CARE,0.48214219868129937,3.0355496191641502,0.45366423205952283,255.25175224304087,115.2275658322156,918.0,2055.3866119605973,1137.3866119605973,4860
HOME APPLIANCES,0.6440935638927323,1.070523967154925,0.5308254255499187,131.63560641373758,78.75795907689627,2378.0,2830.967727257921,452.96772725792107,4860
HARDWARE,1.2821519558701597,1.9107728013134033,0.6870513741759751,86.73800815045902,78.74562199140708,7184.0,5869.310027224932,-1314.6899727750679,4860
MAGAZINES,2.667722409333986,4.115468778096039,0.616232130009441,41.47780059301034,55.35006799390941,31258.0,26824.69334800884,-4433.306651991159,4860
BEAUTY,2.8396212169716817,5.006630327854733,0.6100855272799856,47.968575302337065,71.85598220918453,28770.0,30309.490748087548,1539.4907480875481,4860
PET SUPPLIES,3.1537113738618756,4.938767984689751,0.5716812608756674,35.27511456149301,50.995188994364874,43450.0,39095.11564157478,-4354.884358425217,4860
AUTOMOTIVE,3.2327474532774767,4.423246458362892,0.5974440597921113,44.19452214607183,61.619508989876174,35550.0,32511.76116516395,-3038.238834836051,4860
LINGERIE,3.563643472842666,5.337403043412679,0.6986712964524874,52.10224505284244,74.30999682472338,33241.0,30433.886906194217,-2807.113093805783,4860
PLAYERS AND ELECTRONICS,3.82433507231929,5.448649191786664,0.5383246349185132,32.75517412098717,49.865237783665734,56743.0,51493.335472227016,-5249.664527772984,4860
LADIESWEAR,4.337841741240203,7.151678556027054,0.5642529912662685,36.84167356207711,60.00105210360724,57223.0,55028.02006474938,-2194.9799352506234,4860
SEAFOOD,5.439007827001803,8.88391143570513,0.5775143100289585,26.352970092934942,53.545665522992955,100305.87803200001,100330.27991394917,24.40188194916118,4860
SCHOOL AND OFFICE SUPPLIES,5.6642842307356025,32.58002769684104,0.6331909798015547,43.40926794716638,90.50327726221022,63416.0,53857.61587315763,-9558.384126842371,4860
CELEBRATION,5.8275228311832405,11.039091850735261,0.6248363962652547,43.19514536207322,62.87877192874295,65567.0,60722.97990722048,-4844.020092779523,4860
LAWN AND GARDEN,6.036332516794715,11.405309179128256,0.53639045505686,36.87537838959012,59.49434520142183,79556.0,80085.04401335093,529.0440133509255,4860
GROCERY II,10.007685378411441,16.57635901564135,0.571268389088229,32.438741155612796,58.42758712398063,149936.0,145660.6243850444,-4275.375614955614,4860
HOME AND KITCHEN II,11.438795512298308,29.32391541967023,0.48706011894840673,35.99317992513566,44.774615319354034,154453.0,151231.33256995038,-3221.6674300496234,4860
HOME AND KITCHEN I,12.55726136349623,23.353947171093033,0.5210267479007957,39.18374450339435,52.03965260684824,155749.0,156013.79260557058,264.7926055705757,4860
PREPARED FOODS,15.668254928331177,22.30080478187213,0.2881427530012367,17.355657752828385,23.241703761083883,438748.678017,433075.87264431803,-5672.805372681993,4860
FROZEN FOODS,24.93503084951987,38.59452992352609,0.3013352843078216,18.537658020675657,25.32273346393425,653719.30906,665403.6474432579,11684.338383257855,4860
"LIQUOR,WINE,BEER",28.771036271086867,50.87594946971947,0.6283602888095181,30.18129777558428,63.00421941657092,463291.0,472430.3781336186,9139.378133618622,4860
EGGS,35.42788223211581,56.42299594215153,0.3176506069201877,17.638758629430612,25.374414486512332,976143.0,981685.6665148505,5542.666514850454,4860
DELI,38.72884546391145,55.6634237874625,0.17460056479436578,12.198779394465497,13.929110014412451,1542959.2,1555250.0208115873,12290.820811587386,4860
HOME CARE,39.6122381581275,60.28301689862959,0.18453398627926965,12.993781537658325,14.354048525495703,1481597.0,1500744.9452661453,19147.94526614528,4860
PERSONAL CARE,46.70491093001738,78.9947004559128,0.2154139539143451,14.721475502775169,16.25400029863965,1541869.0,1536744.4632437613,-5124.536756238667,4860
POULTRY,48.72543671021094,119.87378971832268,0.20552913975812467,12.300857452865593,16.075486499596558,1925114.759837,1944969.2902353064,19854.530398306437,4860
MEATS,54.35281776709242,87.80322249691896,0.21283325538239006,14.298861245593791,17.16354584631941,1847382.7377649997,1895148.2471319437,47765.50936694397,4860
BREAD/BAKERY,55.37853098669594,84.51698728904101,0.15462198204356134,10.008326766433491,11.845510677194698,2689157.40739,2695624.942720077,6467.535330077168,4860
DAIRY,84.93076519830716,128.48662293082276,0.14056898093073303,9.403199850550923,11.22187387559536,4389607.0,4520633.510674888,131026.51067488827,4860
PRODUCE,192.006574285958,316.4354060981998,0.134308097683658,8.069165188647352,10.281562904267709,11564417.49814,11633878.013538636,69460.51539863646,4860
CLEANING,219.884600213664,477.8717674797683,0.2732330299605712,17.034867707059583,17.8362928344269,6273246.0,6295052.1066876305,21806.106687630527,4860
BEVERAGES,417.93251163556965,728.090944755124,0.17824643781951602,11.66491614063441,12.524996485775144,17412487.0,17254871.132660452,-157615.86733954772,4860
GROCERY I,442.27223508252507,680.6192724146877,0.14288923108786425,9.457977622518925,10.32509784489082,22726243.9,22780195.98257377,53952.08257377148,4860
