store_nbr,family,city,state,type,cluster,forecast_7_day,average_daily_demand,safety_stock,reorder_point,recommended_stock,inventory_priority
1,AUTOMOTIVE,Quito,Pichincha,D,13,46.93,6.7,9.39,22.8,56.32,LOW PRIORITY
1,BABY CARE,Quito,Pichincha,D,13,17.69,2.53,3.54,8.59,21.23,LOW PRIORITY
1,BEAUTY,Quito,Pichincha,D,13,45.29,6.47,9.06,22.0,54.35,LOW PRIORITY
1,BEVERAGES,Quito,Pichincha,D,13,13468.62,1924.09,2693.72,6541.9,16162.35,HIGH PRIORITY
1,BOOKS,Quito,Pichincha,D,13,17.69,2.53,3.54,8.59,21.23,LOW PRIORITY
1,BREAD/BAKERY,Quito,Pichincha,D,13,2110.06,301.44,422.01,1024.88,2532.07,HIGH PRIORITY
1,CELEBRATION,Quito,Pichincha,D,13,69.59,9.94,13.92,33.8,83.51,LOW PRIORITY
1,CLEANING,Quito,Pichincha,D,13,3870.2,552.89,774.04,1879.81,4644.23,HIGH PRIORITY
1,DAIRY,Quito,Pichincha,D,13,4240.33,605.76,848.07,2059.59,5088.4,HIGH PRIORITY
1,DELI,Quito,Pichincha,D,13,774.68,110.67,154.94,376.27,929.62,MEDIUM PRIORITY
1,EGGS,Quito,Pichincha,D,13,844.21,120.6,168.84,410.04,1013.05,MEDIUM PRIORITY
1,FROZEN FOODS,Quito,Pichincha,D,13,783.24,111.89,156.65,380.43,939.88,MEDIUM PRIORITY
1,GROCERY I,Quito,Pichincha,D,13,15479.7,2211.39,3095.94,7518.71,18575.64,HIGH PRIORITY
1,GROCERY II,Quito,Pichincha,D,13,98.4,14.06,19.68,47.79,118.08,MEDIUM PRIORITY
1,HARDWARE,Quito,Pichincha,D,13,27.76,3.97,5.55,13.48,33.31,LOW PRIORITY
1,HOME AND KITCHEN I,Quito,Pichincha,D,13,197.73,28.25,39.55,96.04,237.28,MEDIUM PRIORITY
1,HOME AND KITCHEN II,Quito,Pichincha,D,13,157.18,22.45,31.44,76.34,188.62,MEDIUM PRIORITY
1,HOME APPLIANCES,Quito,Pichincha,D,13,17.53,2.5,3.51,8.51,21.03,LOW PRIORITY
1,HOME CARE,Quito,Pichincha,D,13,959.56,137.08,191.91,466.07,1151.47,MEDIUM PRIORITY
1,LADIESWEAR,Quito,Pichincha,D,13,57.18,8.17,11.44,27.78,68.62,LOW PRIORITY
1,LAWN AND GARDEN,Quito,Pichincha,D,13,124.5,17.79,24.9,60.47,149.4,MEDIUM PRIORITY
1,LINGERIE,Quito,Pichincha,D,13,50.96,7.28,10.19,24.75,61.15,LOW PRIORITY
